id;trans_ammount;trans_date;trans_type;entry_date;description
1;38081;2020-09-27;CREDIT;2020-09-28T02:07:35;Concrete
2;72980;2020-09-27;CREDIT;2020-09-27T15:33:03;Falls
3;26730;2020-09-27;DEBIT;2020-09-27T09:47:54;Mountain Functionality Home Loan Account
4;72078;2020-09-28;DEBIT;2020-09-28T01:02:29;Frozen Profound
5;76356;2020-09-28;DEBIT;2020-09-28T00:45:59;Books Health Cliff
6;39462;2020-09-27;DEBIT;2020-09-27T16:15:19;compressing
7;22042;2020-09-28;CREDIT;2020-09-27T16:10:23;programming Cloned
8;46291;2020-09-27;DEBIT;2020-09-28T01:12:04;Refined programming optimize
9;81946;2020-09-28;DEBIT;2020-09-28T05:41:08;Unbranded
10;6977;2020-09-28;DEBIT;2020-09-28T02:24:40;Books
